ethnicity,zip1,act,legacy,n_applicants,n_admits
East Asian,4,34,FALSE,326,35
East Asian,4,35,FALSE,434,90
East Asian,4,36,FALSE,348,109
East Asian,5,32,FALSE,66,2
East Asian,5,33,FALSE,80,7
East Asian,5,34,FALSE,131,13
East Asian,5,35,FALSE,186,41
East Asian,5,36,FALSE,156,62
East Asian,6,32,FALSE,175,3
East Asian,6,33,FALSE,248,17
East Asian,6,34,FALSE,391,43
East Asian,6,35,FALSE,562,99
East Asian,6,36,FALSE,435,153
East Asian,7,32,FALSE,109,3
East Asian,7,33,FALSE,200,11
East Asian,7,34,FALSE,375,39
East Asian,7,35,FALSE,651,108
East Asian,7,36,FALSE,508,158
East Asian,8,32,FALSE,110,4
East Asian,8,33,FALSE,164,12
East Asian,8,34,FALSE,272,31
East Asian,8,35,FALSE,299,77
East Asian,8,36,FALSE,181,73
East Asian,9,32,FALSE,1196,37
East Asian,9,33,FALSE,2044,101
East Asian,9,34,FALSE,3302,262
East Asian,9,35,FALSE,4130,599
East Asian,9,36,FALSE,2277,521
White,0,32,TRUE,411,102
White,0,33,TRUE,705,166
White,0,34,TRUE,942,357
White,0,35,TRUE,980,449
White,0,36,TRUE,451,306
White,1,32,TRUE,285,77
White,1,33,TRUE,622,214
White,1,34,TRUE,849,373
White,1,35,TRUE,898,538
White,1,36,TRUE,404,295
White,2,32,TRUE,155,21
White,2,33,TRUE,252,33
White,2,34,TRUE,385,119
White,2,35,TRUE,410,177
White,2,36,TRUE,184,108
White,3,32,TRUE,59,14
White,3,33,TRUE,103,23
White,3,34,TRUE,157,47
White,3,35,TRUE,151,74
White,3,36,TRUE,78,45
White,4,32,TRUE,NA,NA
White,4,33,TRUE,77,13
White,4,34,TRUE,82,29
White,4,35,TRUE,81,32
White,4,36,TRUE,NA,NA
White,5,32,TRUE,NA,NA
White,5,33,TRUE,NA,NA
White,5,34,TRUE,54,16
White,5,35,TRUE,65,31
White,5,36,TRUE,NA,NA
White,6,32,TRUE,65,17
White,6,33,TRUE,95,19
White,6,34,TRUE,156,52
White,6,35,TRUE,135,43
White,6,36,TRUE,75,42
White,7,32,TRUE,NA,NA
White,7,33,TRUE,NA,NA
White,7,34,TRUE,78,21
White,7,35,TRUE,85,35
White,7,36,TRUE,54,31
White,8,32,TRUE,59,8
White,8,33,TRUE,83,19
White,8,34,TRUE,101,36
White,8,35,TRUE,91,34
White,8,36,TRUE,53,29
White,9,32,TRUE,285,47
White,9,33,TRUE,431,88
White,9,34,TRUE,583,175
White,9,35,TRUE,584,217
White,9,36,TRUE,243,127
South Asian,0,32,TRUE,NA,NA
South Asian,0,33,TRUE,NA,NA
South Asian,0,34,TRUE,NA,NA
South Asian,0,35,TRUE,NA,NA
South Asian,0,36,TRUE,NA,NA
South Asian,1,32,TRUE,NA,NA
South Asian,1,33,TRUE,NA,NA
South Asian,1,34,TRUE,NA,NA
South Asian,1,35,TRUE,NA,NA
South Asian,1,36,TRUE,NA,NA
South Asian,2,32,TRUE,NA,NA
South Asian,2,33,TRUE,NA,NA
South Asian,2,34,TRUE,NA,NA
South Asian,2,35,TRUE,NA,NA
South Asian,2,36,TRUE,NA,NA
South Asian,3,32,TRUE,NA,NA
South Asian,3,33,TRUE,NA,NA
South Asian,3,34,TRUE,NA,NA
South Asian,3,35,TRUE,NA,NA
South Asian,3,36,TRUE,NA,NA
South Asian,4,32,TRUE,NA,NA
South Asian,4,33,TRUE,NA,NA
South Asian,4,34,TRUE,NA,NA
South Asian,4,35,TRUE,NA,NA
South Asian,4,36,TRUE,NA,NA
South Asian,5,32,TRUE,NA,NA
South Asian,5,33,TRUE,NA,NA
South Asian,5,34,TRUE,NA,NA
South Asian,5,35,TRUE,NA,NA
South Asian,5,36,TRUE,NA,NA
South Asian,6,32,TRUE,NA,NA
South Asian,6,33,TRUE,NA,NA
South Asian,6,34,TRUE,NA,NA
South Asian,6,35,TRUE,NA,NA
South Asian,6,36,TRUE,NA,NA
South Asian,7,32,TRUE,NA,NA
South Asian,7,33,TRUE,NA,NA
South Asian,7,34,TRUE,NA,NA
South Asian,7,35,TRUE,NA,NA
South Asian,7,36,TRUE,NA,NA
South Asian,8,32,TRUE,NA,NA
South Asian,8,33,TRUE,NA,NA
South Asian,8,34,TRUE,NA,NA
South Asian,8,35,TRUE,NA,NA
South Asian,8,36,TRUE,NA,NA
